Entidad federativa,Grupo quinquenal de edad,1990,1995,2000,2005,2010,2020
Chiapas,80 a 84 años,12562,13071,14768,19141,24678,38245
Chiapas,85 a 89 años,5934,6412,7712,10593,13513,21839
Chiapas,90 a 94 años,3403,3612,3896,4097,5569,8853
Chiapas,95 a 99 años,1578,1848,2309,2352,2583,3855
Chiapas,100 años y más,1354,1074,1241,1267,1467,1449
Chiapas,No especificado,10865,17624,148557,125422,56400,27844
Chihuahua,Total,2441873,2793537,3052907,3241444,3406465,3741869
Chihuahua,0 a 4 años,291158,330996,334521,320384,322676,291286
Chihuahua,5 a 9 años,285488,320170,341921,324350,335064,317322
Chihuahua,10 a 14 años,282115,293173,306679,322642,324661,333715
Chihuahua,15 a 19 años,299267,291853,290939,300186,322034,326333
Chihuahua,20 a 24 años,254240,299966,280013,267506,285872,314067
Chihuahua,25 a 29 años,205168,254432,272404,250016,255036,298299
Chihuahua,30 a 34 años,167343,216249,242428,257676,251304,275644
Chihuahua,35 a 39 años,134488,181098,207365,233533,259968,263669
Chihuahua,40 a 44 años,106890,134678,162697,193322,222756,251983
Chihuahua,45 a 49 años,94003,110031,121932,153968,183153,248522
Chihuahua,50 a 54 años,79277,93325,103012,119550,149069,219930
Chihuahua,55 a 59 años,60363,74656,81615,92987,108607,173639
Chihuahua,60 a 64 años,51221,63150,71437,80050,89542,140861
Chihuahua,65 a 69 años,36349,45828,51719,62659,68809,100944
Chihuahua,70 a 74 años,24255,32628,37728,45078,54419,74018
Chihuahua,75 a 79 años,18040,19503,24488,29983,34386,50265
Chihuahua,80 a 84 años,11485,12527,12813,17235,20704,31387
Chihuahua,85 a 89 años,5634,7069,7526,8045,10184,15250
Chihuahua,90 a 94 años,1969,2387,2770,2931,3294,5376
Chihuahua,95 a 99 años,644,988,1242,1078,1101,1477
Chihuahua,100 años y más,318,218,329,224,286,243
Chihuahua,No especificado,32158,8612,97329,158041,103540,7639
Ciudad de Mexico,Total,8235744,8489007,8605239,8720916,8851080,9209944
Ciudad de Mexico,0 a 4 años,833591,780705,737934,664092,618245,479904
Ciudad de Mexico,5 a 9 años,837642,785466,764094,671579,658948,563907
Ciudad de Mexico,10 a 14 años,837766,781808,742986,704950,660345,608962
Ciudad de Mexico,15 a 19 años,976029,848416,798349,740280,723372,650389
Ciudad de Mexico,20 a 24 años,898114,964075,832517,765641,753404,714605
Ciudad de Mexico,25 a 29 años,778695,826960,840487,735441,726696,752289
Ciudad de Mexico,30 a 34 años,659098,725263,731452,755600,702642,743611
Ciudad de Mexico,35 a 39 años,544706,643428,655973,678990,722214,705850
Ciudad de Mexico,40 a 44 años,417720,499935,556565,596540,629563,670307
Ciudad de Mexico,45 a 49 años,338444,402093,441804,515878,555481,668945
Ciudad de Mexico,50 a 54 años,274523,325253,373595,441077,506310,623483
Ciudad de Mexico,55 a 59 años,223519,235829,269845,329553,392186,526447
Ciudad de Mexico,60 a 64 años,192053,212782,227283,263228,315793,469514
Ciudad de Mexico,65 a 69 años,145729,158713,175174,192699,227625,356196
Ciudad de Mexico,70 a 74 años,95658,119920,134345,164150,179329,267744
Ciudad de Mexico,75 a 79 años,70158,71291,92943,110512,124499,175215
Ciudad de Mexico,80 a 84 años,44999,46687,51638,72725,85121,117480
Ciudad de Mexico,85 a 89 años,25300,26414,30845,35912,47170,66316
Ciudad de Mexico,90 a 94 años,9038,10508,12237,14084,17225,28780
Ciudad de Mexico,95 a 99 años,3060,4126,5012,5176,5797,9066
Ciudad de Mexico,100 años y más,988,685,1163,952,1089,1308
Ciudad de Mexico,No especificado,28914,18650,128998,261857,198026,9626
Durango,Total,1349378,1431748,1448661,1509117,1632934,1832650
Durango,0 a 4 años,177249,175246,168897,158588,161700,167600
Durango,5 a 9 años,182860,180229,177062,165488,166853,176033
Durango,10 a 14 años,189988,175910,172365,171314,167180,170271
Durango,15 a 19 años,165463,165403,150569,156434,166366,162990
Durango,20 a 24 años,121376,140244,129322,124920,143377,153588
Durango,25 a 29 años,96432,109163,113003,111556,117714,141107
Durango,30 a 34 años,80561,95654,100022,110058,115294,129526
Durango,35 a 39 años,68315,83865,90218,99365,112837,118830
Durango,40 a 44 años,54334,64382,73203,85571,96859,114976
Durango,45 a 49 años,48644,54268,57469,70558,82516,108070
Durango,50 a 54 años,41529,45710,48972,57570,70274,97009
Durango,55 a 59 años,33821,37306,39206,45386,53875,79997
Durango,60 a 64 años,28239,33863,36689,40026,44693,66536
Durango,65 a 69 años,20214,24605,27761,31835,34601,49727
Durango,70 a 74 años,13507,17811,20362,24425,29733,36956
Durango,75 a 79 años,10397,10563,13433,16824,19595,25689
Durango,80 a 84 años,7515,7168,6877,9837,12039,17026
Durango,85 a 89 años,3908,4640,4431,4700,6079,9042
Durango,90 a 94 años,1468,1612,1906,1784,1953,3333
Durango,95 a 99 años,553,692,886,798,753,1012
Durango,100 años y más,208,189,255,243,235,157
Durango,No especificado,2797,3225,15753,21837,28408,3175
Guanajuato,Total,3982593,4406568,4663032,4893812,5486372,6166934
Guanajuato,0 a 4 años,542798,561702,564593,527480,547466,538846
Guanajuato,5 a 9 años,552143,561618,582207,551459,579121,547545
Guanajuato,10 a 14 años,547837,557242,560147,569357,580600,549301
Guanajuato,15 a 19 años,479117,513332,501053,504643,570965,552092
Guanajuato,20 a 24 años,367907,443945,435713,425409,493167,540587
Guanajuato,25 a 29 años,285440,345170,371568,377109,425291,501868
Guanajuato,30 a 34 años,238296,292316,322249,361384,407712,462332
Guanajuato,35 a 39 años,201188,255552,280637,321689,387687,439045
Guanajuato,40 a 44 años,153691,196209,229441,269592,324654,407230
Guanajuato,45 a 49 años,129632,157073,177786,219520,266465,365660
Guanajuato,50 a 54 años,106186,127784,146282,180011,225760,318197
Guanajuato,55 a 59 años,85656,96922,111802,135455,174400,250808
Guanajuato,60 a 64 años,77502,90404,98676,117552,140229,214406
Guanajuato,65 a 69 años,55479,67006,76586,87450,105229,161765
Guanajuato,70 a 74 años,40520,53790,62089,71388,86650,118285
Guanajuato,75 a 79 años,30476,31365,42290,51797,60341,81110
Guanajuato,80 a 84 años,23359,23999,23925,34405,42362,54366
Guanajuato,85 a 89 años,13548,14196,15706,17077,24163,31747
Guanajuato,90 a 94 años,5367,6241,7235,7351,8603,14003
Guanajuato,95 a 99 años,2066,2681,3680,3392,3588,5009
Guanajuato,100 años y más,873,551,878,754,766,683
Guanajuato,No especificado,43512,7470,48489,59538,31153,12049
Guerrero,Total,2620637,2916567,3079649,3115202,3388768,3540685
Guerrero,0 a 4 años,361479,388050,391873,345731,353009,335458
Guerrero,5 a 9 años,386810,399798,411408,377826,378197,351010
Guerrero,10 a 14 años,370880,387415,394613,396125,393378,348493
Guerrero,15 a 19 años,301872,336443,333331,332940,372191,326540
Guerrero,20 a 24 años,218114,265340,265129,252404,290684,281967
Guerrero,25 a 29 años,180524,205582,215653,212665,237815,256191
Guerrero,30 a 34 años,146484,177944,186082,198099,223482,237976
Guerrero,35 a 39 años,137436,165407,176165,181518,211923,222157
Guerrero,40 a 44 años,103265,126571,142041,158810,178482,209120
Guerrero,45 a 49 años,92617,106096,117329,135306,158413,190778
Guerrero,50 a 54 años,74054,86328,96611,112818,137260,174072
Guerrero,55 a 59 años,57775,67228,76908,89468,110858,148972
Guerrero,60 a 64 años,51474,63816,72841,80235,89041,126765
Guerrero,65 a 69 años,33936,42877,54139,66040,72733,104196
Guerrero,70 a 74 años,28421,35686,42207,50403,66668,77444
Guerrero,75 a 79 años,17170,20694,26950,34974,43749,58071
Guerrero,80 a 84 años,14143,14734,17112,21597,26491,39210
Guerrero,85 a 89 años,6721,7581,9120,11675,14892,23532
Guerrero,90 a 94 años,3731,3822,4558,4612,5898,9187
Guerrero,95 a 99 años,1556,2028,2711,2520,2810,3950
Guerrero,100 años y más,1094,894,1224,1126,1186,1179
Guerrero,No especificado,31081,12233,41644,48310,19608,14417
Hidalgo,Total,1888366,2112473,2235591,2345514,2665018,3082841
Hidalgo,0 a 4 años,246015,252617,243558,237423,255202,238189
Hidalgo,5 a 9 años,269371,265590,277830,243185,271181,269553
Hidalgo,10 a 14 años,260049,269753,271378,270650,263026,283676
Hidalgo,15 a 19 años,210593,239592,235368,237675,269602,272506
Hidalgo,20 a 24 años,160396,201620,195771,196494,226170,238187
Hidalgo,25 a 29 años,137762,162352,172960,175226,201034,231124
Hidalgo,30 a 34 años,117480,141617,155351,173306,197047,224226
Hidalgo,35 a 39 años,106107,132294,143447,159174,191131,221410
Hidalgo,40 a 44 años,77683,98208,117852,135441,162857,211048
Hidalgo,45 a 49 años,70768,83345,95309,116547,140325,194567
Hidalgo,50 a 54 años,54437,65824,77766,93857,120304,171679
Hidalgo,55 a 59 años,43533,51647,60808,73161,95265,139795
Hidalgo,60 a 64 años,37433,44554,51719,65005,74476,118929
Hidalgo,65 a 69 años,28339,33606,40119,46738,57669,93011
Hidalgo,70 a 74 años,21014,26160,30440,35516,48068,66179
Hidalgo,75 a 79 años,14328,17386,21911,25653,31279,47263
Hidalgo,80 a 84 años,9644,10546,12770,16502,19997,29997
Hidalgo,85 a 89 años,5340,6056,7406,9117,12043,17421
Hidalgo,90 a 94 años,2384,2712,3268,3470,4577,7213
Hidalgo,95 a 99 años,1153,1473,1835,1703,1952,3020
Hidalgo,100 años y más,728,514,660,621,654,642
Hidalgo,No especificado,13809,5007,18065,29050,21159,3206
Jalisco,Total,5302689,5991176,6322002,6752113,7350682,8348151
Jalisco,0 a 4 años,671649,701617,703272,674285,694948,670983
Jalisco,5 a 9 años,695463,717968,720270,688681,727075,718100
Jalisco,10 a 14 años,681667,715201,708813,697206,714393,714906
Jalisco,15 a 19 años,643430,676896,673570,669724,715003,716259
Jalisco,20 a 24 años,491687,615402,589706,601671,669088,704359
Jalisco,25 a 29 años,390128,482529,529194,523866,592033,668334
Jalisco,30 a 34 años,337131,413098,453186,509541,548117,639006
Jalisco,35 a 39 años,289603,365641,397738,448698,535234,602903
Jalisco,40 a 44 años,231557,291118,334653,379829,446601,549859
Jalisco,45 a 49 años,190247,237708,264177,318734,371541,511537
Jalisco,50 a 54 años,151319,192416,224975,267921,324277,444689
Jalisco,55 a 59 años,120026,143341,169779,208005,254380,357080
Jalisco,60 a 64 años,105816,125183,140629,172579,210465,313011
Jalisco,65 a 69 años,85330,95384,108075,126101,155337,240553
Jalisco,70 a 74 años,64662,79247,84182,96044,118204,181420
Jalisco,75 a 79 años,47547,53066,63716,69383,80747,120885
Jalisco,80 a 84 años,30814,36385,39463,48147,53964,76495
Jalisco,85 a 89 años,17241,19954,24151,27217,32720,41507
Jalisco,90 a 94 años,7097,8299,9701,11502,13596,17725
Jalisco,95 a 99 años,2805,3510,4405,4526,5206,6381
Jalisco,100 años y más,1158,820,1097,1027,1084,1108
Jalisco,No especificado,46312,16393,77250,207426,86669,51051
Estado de Mexico,Total,9815795,11707964,13096686,14007495,15175862,16992418
Estado de Mexico,0 a 4 años,1229996,1364484,1366320,1373064,1426612,1276386
Estado de Mexico,5 a 9 años,1284167,1382651,1447047,1362065,1498274,1381132
Estado de Mexico,10 a 14 años,1248189,1344420,1363554,1410691,1429028,1464549
Estado de Mexico,15 a 19 años,1198496,1305765,1307977,1334112,1467148,1476665
Estado de Mexico,20 a 24 años,1010653,1295228,1250900,1250151,1364380,1415159
Estado de Mexico,25 a 29 años,834509,1058142,1154041,1152407,1233854,1367527
Estado de Mexico,30 a 34 años,709181,913299,1008308,1147320,1198515,1283264
Estado de Mexico,35 a 39 años,584990,793800,883172,1016457,1193988,1254296
Estado de Mexico,40 a 44 años,429384,586683,706988,839324,1003492,1197089
Estado de Mexico,45 a 49 años,348862,457065,535083,682173,831164,1145882
Estado de Mexico,50 a 54 años,264020,349220,422987,539308,695328,1007077
Estado de Mexico,55 a 59 años,200166,251155,303755,388919,509884,795711
Estado de Mexico,60 a 64 años,156005,204472,242540,305945,392349,661100
Estado de Mexico,65 a 69 años,112907,145024,178159,215924,270138,475398
Estado de Mexico,70 a 74 años,69215,101342,123108,156324,200542,330905
Estado de Mexico,75 a 79 años,49615,59674,84377,102977,129423,212562
Estado de Mexico,80 a 84 años,31272,34930,41618,61530,78893,130480
Estado de Mexico,85 a 89 años,19588,21492,25874,31282,44498,71307
Estado de Mexico,90 a 94 años,7312,8673,10206,11029,14612,26950
Estado de Mexico,95 a 99 años,3497,4715,6030,5264,5814,9294
Estado de Mexico,100 años y más,1510,1000,1792,1334,1378,1458
Estado de Mexico,No especificado,22261,24730,632850,619895,186548,8227
Michoacan,Total,3548199,3870604,3985667,3966073,4351037,4748846
Michoacan,0 a 4 años,468480,467147,453339,400054,425698,429837
Michoacan,5 a 9 años,491674,499020,492453,426654,434860,441618
Michoacan,10 a 14 años,496659,501490,498316,462479,443721,426869
Michoacan,15 a 19 años,431353,457894,436043,423624,453827,407743
Michoacan,20 a 24 años,311727,370671,357857,332440,392338,390431
Michoacan,25 a 29 años,240995,281231,294099,284690,322064,367568
Michoacan,30 a 34 años,203845,244357,255792,273154,303108,345272
Michoacan,35 a 39 años,176749,221033,233456,247470,290448,318438
Michoacan,40 a 44 años,139854,173986,196428,216455,247704,299299
Michoacan,45 a 49 años,118842,141762,154267,182586,212627,270544
Michoacan,50 a 54 años,101422,118272,132493,153673,188305,243599
Michoacan,55 a 59 años,81634,91798,102326,120402,147873,202399
Michoacan,60 a 64 años,75014,88981,94498,104898,122951,178844
Michoacan,65 a 69 años,53580,65207,75177,84325,96347,140009
Michoacan,70 a 74 años,42296,54355,61639,69195,83990,106332
Michoacan,75 a 79 años,28987,32765,42177,50678,58813,74938
Michoacan,80 a 84 años,22110,23993,25242,33279,40032,51154
Michoacan,85 a 89 años,11618,13194,15131,17681,23160,30976
Michoacan,90 a 94 años,5454,5932,6983,7330,8949,13255
Michoacan,95 a 99 años,2240,2925,3764,3683,3839,5246
Michoacan,100 años y más,1287,931,1216,1046,1046,945
Michoacan,No especificado,42379,13660,52971,70277,49337,3530
Morelos,Total,1195059,1442662,1555296,1612899,1777227,1971520
Morelos,0 a 4 años,143093,167226,160901,150281,155669,145439
Morelos,5 a 9 años,151548,166248,173589,157253,166908,158935
Morelos,10 a 14 años,153841,166885,166002,168541,167487,164177
Morelos,15 a 19 años,145197,161301,156544,155301,175625,166654
Morelos,20 a 24 años,112583,147558,137988,134191,155671,162146
Morelos,25 a 29 años,92584,117551,123189,119236,133544,154595
Morelos,30 a 34 años,80162,103465,109174,118659,128812,143404
Morelos,35 a 39 años,69744,95595,100957,108333,129072,135994
Morelos,40 a 44 años,51951,72003,84779,94307,111381,130539
Morelos,45 a 49 años,44861,58154,66776,81012,97105,124378
Morelos,50 a 54 años,36413,46219,53966,67341,86282,114284
Morelos,55 a 59 años,31036,36749,41813,51112,66904,96124
Morelos,60 a 64 años,25391,33014,36295,43128,53604,84475
Morelos,65 a 69 años,19143,25504,30268,33653,40104,65650
Morelos,70 a 74 años,11909,18175,22033,26836,32988,47846
Morelos,75 a 79 años,8825,10844,15196,19198,23535,33189
Morelos,80 a 84 años,6335,6555,7620,11620,14917,21954
Morelos,85 a 89 años,3888,4469,4953,5851,8567,13278
Morelos,90 a 94 años,1671,1918,2081,2162,2702,5327
Morelos,95 a 99 años,680,1076,1260,1104,1134,1844
Morelos,100 años y más,303,251,409,390,327,340
Morelos,No especificado,3901,1902,59503,63390,24889,948
Nayarit,Total,824643,896702,920185,949684,1084979,1235456
Nayarit,0 a 4 años,103227,103803,100288,92384,106044,103601
Nayarit,5 a 9 años,109363,110505,107577,96834,104943,113942
Nayarit,10 a 14 años,112910,110790,107654,103122,104308,113335
Nayarit,15 a 19 años,99779,102913,97866,97519,107191,104256
Nayarit,20 a 24 años,70005,86384,81566,79031,96693,97500
Nayarit,25 a 29 años,56622,66502,72014,69847,82067,92542
Nayarit,30 a 34 años,49504,58527,62272,69251,79520,90577
Nayarit,35 a 39 años,44384,53925,57414,62553,78128,85180
Nayarit,40 a 44 años,34689,43229,49594,54176,64675,81357
Nayarit,45 a 49 años,30609,35862,40204,47294,55916,75138
